New_Route_ID,Route_Name,Action_Taken,Route_Type,Priority_Band,Headway_Min,Fleet_Required,HPV_Count,MPV_Count,CMP_Trunk,CMP_Route_ID,Population_Served,Social_Flag
FDR-351,AIRPORT RANIBAGH LALYAL ↔ JEWEL AKHNOOR ROAD,RETAINED_AS_FEEDER,Regional_District,MP,90,7,0,7,False,,666,True
FDR-130,AMBHALLA ↔ MISHRIWALA,RETAINED_AS_FEEDER,Peri_Urban,MP,30,7,0,7,False,,292,True
FDR-155,AMBPHALA ↔ BADORI SMAILPUR,RETAINED_AS_FEEDER,Peri_Urban,MP,30,11,0,11,False,,429,True
FDR-017,AMBPHALLA ↔ MUTHI CAMP PHASE II,RETAINED_AS_FEEDER,Urban,MP,30,4,0,4,False,,201,True
FDR-148,AMBPHALLA ↔ BATHINDI,RETAINED_AS_FEEDER,Urban,MP,30,5,0,5,False,,292,True
FDR-151,AMBPHALLA ↔ BIRPUR,RETAINED_AS_FEEDER,Peri_Urban,MP,30,7,0,7,False,,260,True
FDR-133,AMBPHALLA ↔ RAYA SUCHAINI,RETAINED_AS_FEEDER,Peri_Urban,MP,30,10,0,10,False,,414,True
FDR-033,AMBPHALLA ↔ BATHINDI,RETAINED_AS_FEEDER,Urban,MP,30,4,0,4,False,,160,True
FDR-112,AMBPHALLA ↔ BATHINDI,RETAINED_AS_FEEDER,Urban,MP,30,4,0,4,False,,259,True
FDR-326,AMBPHALLA ↔ BADHAI KARWAL,RETAINED_AS_FEEDER,Peri_Urban,MP,30,8,0,8,False,,153,True
FDR-295,AMBPHALLA ↔ PATTI,RETAINED_AS_FEEDER,Peri_Urban,MP,30,11,0,11,False,,293,True
TRK-028,AMPHALA ↔ TRIKUTA NAGAR G  KALISH,UPGRADED_TO_TRUNK,Urban,HP,15,6,6,0,False,,166,True
FDR-239,AMPHALLA ↔ BADHORI,RETAINED_AS_FEEDER,Peri_Urban,MP,30,14,0,14,False,,472,True
FDR-084,AMPHALLA ↔ KHIYARIAN CAMP,RETAINED_AS_FEEDER,Urban,MP,30,5,0,5,False,,197,False
FDR-097,AMPHALLA ↔ SARORE,RETAINED_AS_FEEDER,Peri_Urban,MP,30,9,0,9,False,,375,True
FDR-305,AMPHALLA ↔ MANDIA MANKA KHOUR,RETAINED_AS_FEEDER,Peri_Urban,MP,30,10,0,10,False,,218,True
FDR-087,AMPHALLA ↔ KHERIAN,RETAINED_AS_FEEDER,Peri_Urban,MP,30,8,0,8,False,,392,True
FDR-018,AMPHALLA ↔ MUTHI CAMP PHASE 2ND,RETAINED_AS_FEEDER,Urban,MP,30,4,0,4,False,,201,True
FDR-276,AMPHALLA ↔ KHERI REHAL,RETAINED_AS_FEEDER,Peri_Urban,MP,30,11,0,11,False,,279,True
FDR-360,AMPHALLA ↔ KATTAL BATAL,RETAINED_AS_FEEDER,Urban,LP,60,4,0,4,False,,205,False
FDR-277,AMPHALLA ↔ KHERI REHAL,RETAINED_AS_FEEDER,Peri_Urban,MP,30,11,0,11,False,,279,True
FDR-299,AMPHALLA ↔ GANGYAL,RETAINED_AS_FEEDER,Peri_Urban,MP,30,10,0,10,False,,249,True
FDR-411,AMPHALLA ↔ DHAKOO CHAK,RETAINED_AS_FEEDER,Urban,HP,15,2,0,2,False,,43,False
FDR-016,AMPHALLA ↔ TALAB TILLO BOHRI,RETAINED_AS_FEEDER,Urban,MP,30,3,0,3,False,,151,False
FDR-131,AMPHALLA ↔ MISHRIWALA,RETAINED_AS_FEEDER,Peri_Urban,MP,30,7,0,7,False,,292,True
FDR-197,AMPHALLA ↔ BISHNAH,RETAINED_AS_FEEDER,Peri_Urban,MP,30,14,0,14,False,,435,True
FDR-280,AMPHALLA ↔ GARHI LODARE VILLAGE,RETAINED_AS_FEEDER,Urban,LP,60,4,0,4,False,,193,False
FDR-291,AMPHALLA ↔ BISHNAH,RETAINED_AS_FEEDER,Peri_Urban,MP,30,11,0,11,False,,292,True
FDR-412,AMPHALLA ↔ CHANNI HIMMAT,RETAINED_AS_FEEDER,Urban,HP,15,2,0,2,False,,43,False
FDR-413,AMPHALLA ↔ CHANNI HIMMAT,RETAINED_AS_FEEDER,Urban,HP,15,2,0,2,False,,43,False
FDR-258,AMPHALLA ↔ SIMBAL CAMP,RETAINED_AS_FEEDER,Peri_Urban,MP,30,10,0,10,False,,250,True
FDR-083,AMPHALLA ↔ SAMILPUR,RETAINED_AS_FEEDER,Peri_Urban,MP,30,8,0,8,False,,384,True
FDR-328,AMPHALLA ↔ BARUIE KARWAL,RETAINED_AS_FEEDER,Peri_Urban,MP,30,8,0,8,False,,154,True
FDR-014,AMPHALLA ↔ TRIKUTA NAGAR,RETAINED_AS_FEEDER,Urban,MP,30,4,0,4,False,,197,True
FDR-284,AMPHALLA ↔ GANGYAL,RETAINED_AS_FEEDER,Peri_Urban,MP,30,9,0,9,False,,208,True
FDR-193,AMPHALLA ↔ BISHNAH,RETAINED_AS_FEEDER,Peri_Urban,MP,30,14,0,14,False,,436,True
FDR-060,AMPHALLA ↔ GARHI LODARE VILLAGE,RETAINED_AS_FEEDER,Urban,MP,30,3,0,3,False,,202,False
FDR-113,AMPHALLA ↔ BATHINDI,RETAINED_AS_FEEDER,Urban,MP,30,4,0,4,False,,259,True
FDR-195,AMPHALLA ↔ BISHNAH,RETAINED_AS_FEEDER,Peri_Urban,MP,30,8,0,8,False,,290,True
FDR-257,AMPHALLA ↔ SIMBAL CAMP,RETAINED_AS_FEEDER,Peri_Urban,MP,30,9,0,9,False,,249,True
FDR-327,AMPHALLA ↔ BARUIE KARWAL,RETAINED_AS_FEEDER,Peri_Urban,MP,30,8,0,8,False,,153,True
CMP-02,AMPHALLA ↔ SUNJWAN,UPGRADED_TO_TRUNK,Urban,MP,10,20,17,3,True,CMP-02,345,True
FDR-015,AMPHALLA ↔ TRIKUTA NAGAR,RETAINED_AS_FEEDER,Urban,MP,30,4,0,4,False,,196,True
FDR-020,AMPHALLA ↔ BOHRI,RETAINED_AS_FEEDER,Urban,MP,30,3,0,3,False,,149,False
FDR-414,AMPHALLA ↔ GARHI LODARE VILLAGE,RETAINED_AS_FEEDER,Urban,HP,15,2,0,2,False,,43,False
FDR-038,AMPHALLA ↔ BATHINDI,RETAINED_AS_FEEDER,Urban,MP,30,3,0,3,False,,262,True
FDR-126,AMPHALLA ↔ CHANNI HIMMAT,RETAINED_AS_FEEDER,Urban,MP,30,5,0,5,False,,337,True
FDR-208,AMPHALLA ↔ CHOWADI BIRPUR,RETAINED_AS_FEEDER,Peri_Urban,MP,30,8,0,8,False,,441,True
FDR-173,AMPHALLA ↔ CHOWADI BIRPUR,RETAINED_AS_FEEDER,Peri_Urban,MP,30,7,0,7,False,,440,True
FDR-177,AMPHALLA ↔ KALYANPUR,RETAINED_AS_FEEDER,Peri_Urban,MP,30,8,0,8,False,,313,True
FDR-127,AMPHALLA ↔ JHIRI KANACHAK,RETAINED_AS_FEEDER,Peri_Urban,MP,30,7,0,7,False,,291,True
FDR-132,AMPHALLA ↔ MISHRIWALA,RETAINED_AS_FEEDER,Peri_Urban,MP,30,7,0,7,False,,292,True
FDR-052,AMPHALLA ↔ REHAL SAIDGARH BARI BRAHMANA SARORE,RETAINED_AS_FEEDER,Peri_Urban,MP,30,8,0,8,False,,370,True
FDR-415,AMPHALLA ↔ MUTHI MIGRANT CAMP PHASE II,RETAINED_AS_FEEDER,Urban,HP,15,2,0,2,False,,43,False
FDR-364,AMPHALLA ↔ GHO MANHASAN,RETAINED_AS_FEEDER,Regional_District,MP,90,8,0,8,False,,263,True
FDR-240,AMPHALLA ↔ BADHORI,RETAINED_AS_FEEDER,Peri_Urban,MP,30,14,0,14,False,,472,True
FDR-207,AMPHALLA ↔ KANA CHAK,RETAINED_AS_FEEDER,Peri_Urban,MP,30,9,0,9,False,,320,True
CMP-02,AMPHALLA ↔ SUNJWAN,UPGRADED_TO_TRUNK,Urban,HP,10,17,15,2,True,CMP-02,207,True
FDR-416,AMPHALLA ↔ KANACHAK,RETAINED_AS_FEEDER,Urban,HP,15,4,0,4,False,,66,True
FDR-217,AMPHALLA ↔ KANACHAK LALYAL,RETAINED_AS_FEEDER,Peri_Urban,MP,30,10,0,10,False,,323,True
FDR-236,AMPHALLA ↔ GAJANSOO KARLOOP,RETAINED_AS_FEEDER,Peri_Urban,LP,60,4,0,4,False,,220,False
FDR-162,AMPHALLA ↔ BISHNAH,RETAINED_AS_FEEDER,Peri_Urban,MP,30,8,0,8,False,,266,True
FDR-318,AMPHALLA ↔ KOTLI BISHNAH,RETAINED_AS_FEEDER,Peri_Urban,MP,30,15,0,15,False,,326,True
FDR-181,AMPHALLA ↔ GHO MANHASAN,RETAINED_AS_FEEDER,Urban,MP,30,7,0,7,False,,231,False
FDR-329,AMPHALLA ↔ KARWAL,RETAINED_AS_FEEDER,Regional_District,MP,90,9,0,9,False,,468,True
FDR-172,AMPHALLA ↔ MARALIA MAMKA KHOUR,RETAINED_AS_FEEDER,Urban,MP,30,4,0,4,False,,128,True
FDR-417,AMPHALLA ↔ SAINIK COLONY,RETAINED_AS_FEEDER,Urban,HP,15,2,0,2,False,,43,False
FDR-061,AMPHALLA ↔ BANTALAB BAJWAN,RETAINED_AS_FEEDER,Urban,MP,30,3,0,3,False,,181,False
FDR-407,AMPHALLA ↔ MAKWAL,RETAINED_AS_FEEDER,Peri_Urban,LP,60,8,0,8,False,,194,False
FDR-176,AMPHALLA ↔ BATHINDI,RETAINED_AS_FEEDER,Urban,MP,30,7,0,7,False,,324,True
FDR-166,AMPHALLA ↔ NARI KULLIAN,RETAINED_AS_FEEDER,Urban,MP,30,4,0,4,False,,127,True
FDR-145,AMPHALLA ↔ KARWAL,RETAINED_AS_FEEDER,Peri_Urban,MP,30,12,0,12,False,,404,True
FDR-337,AMPHALLA ↔ PATTI,RETAINED_AS_FEEDER,Peri_Urban,MP,30,13,0,13,False,,244,True
FDR-418,AMPHALLA ↔ RAJPURA SUA NO 1,RETAINED_AS_FEEDER,Urban,MP,30,2,0,2,False,,77,True
FDR-322,AMPHALLA ↔ PRAMBLI,RETAINED_AS_FEEDER,Peri_Urban,MP,30,8,0,8,False,,152,True
FDR-111,AMPHALLA ↔ KERAN,RETAINED_AS_FEEDER,Peri_Urban,MP,30,7,0,7,False,,275,True
FDR-268,AMPHALLA ↔ KIRPIND,RETAINED_AS_FEEDER,Peri_Urban,MP,30,10,0,10,False,,243,True
FDR-419,AMPHALLA ↔ BRAHMAN MOHALLA CHOWADI,RETAINED_AS_FEEDER,Urban,HP,15,2,0,2,False,,43,False
FDR-088,AMPHALLA ↔ KHARIAN,RETAINED_AS_FEEDER,Urban,MP,30,6,0,6,False,,240,True
FDR-378,AMPHALLA ↔ MAKWAL CAMP MANDAL PHALLIAN,RETAINED_AS_FEEDER,Regional_District,MP,90,8,0,8,False,,215,True
FDR-420,AMPHALLA ↔ JASMA,RETAINED_AS_FEEDER,Urban,HP,15,2,0,2,False,,43,False
FDR-234,AMPHALLA ↔ PHINDER,RETAINED_AS_FEEDER,Peri_Urban,MP,30,8,0,8,False,,215,True
FDR-085,AMPHALLA ↔ DASOOR,RETAINED_AS_FEEDER,Urban,MP,30,5,0,5,False,,262,True
FDR-421,AMPHALLA ↔ BADHORI SMAILPUR,RETAINED_AS_FEEDER,Urban,HP,15,2,0,2,False,,43,False
FDR-154,AMPHALLA ↔ BHATHINDI,RETAINED_AS_FEEDER,Urban,MP,30,6,0,6,False,,294,True
FDR-273,AMPHALLA ↔ MARALIAN,RETAINED_AS_FEEDER,Peri_Urban,MP,30,12,0,12,False,,303,True
FDR-317,AMPHALLA ↔ LALYAL,RETAINED_AS_FEEDER,Peri_Urban,MP,30,8,0,8,False,,144,True
FDR-167,AMPHALLA ↔ CHOHALLA TANDA KOTLI,RETAINED_AS_FEEDER,Urban,MP,30,4,0,4,False,,127,True
FDR-019,AMPHALLA ↔ GOLE GUJRAL KHARIAN,RETAINED_AS_FEEDER,Urban,MP,30,3,0,3,False,,158,False
FDR-306,AMPHALLA ↔ MARALIAN MAMKA KHOUR,RETAINED_AS_FEEDER,Peri_Urban,MP,30,10,0,10,False,,218,True
FDR-345,BABA TALAB ↔ MARH,RETAINED_AS_FEEDER,Urban,LP,60,3,0,3,False,,382,False
FDR-001,BABA TALAB ↔ MARH GAJANSOO,RETAINED_AS_FEEDER,Urban,MP,30,4,0,4,False,,403,False
FDR-123,BAHU FORT ↔ KUNJWANI,RETAINED_AS_FEEDER,Urban,MP,30,5,0,5,False,,753,False
FDR-071,BAHU FORT ↔ BANTALAB OLD MOHALLA,RETAINED_AS_FEEDER,Urban,MP,30,5,0,5,False,,232,True
FDR-365,BAHU FORT ↔ RAIPUR,RETAINED_AS_FEEDER,Regional_District,MP,90,8,0,8,False,,416,True
FDR-079,BAHU FORT ↔ JANIPUR COLONY,RETAINED_AS_FEEDER,Urban,MP,30,5,0,5,False,,185,True
FDR-081,BAHU FORT ↔ AGHORE,RETAINED_AS_FEEDER,Urban,MP,30,3,0,3,False,,104,True
FDR-124,BAHU FORT ↔ KUNWANI,RETAINED_AS_FEEDER,Urban,MP,30,5,0,5,False,,753,False
FDR-055,BAHU FORT ↔ MUTHI CAMP PHASE II,RETAINED_AS_FEEDER,Urban,MP,30,4,0,4,False,,172,True
FDR-254,BAHU FORT ↔ GHAROTA,RETAINED_AS_FEEDER,Peri_Urban,MP,30,12,0,12,False,,362,True
FDR-080,BAHU FORT ↔ BANTALAB OLD MOHALLA,RETAINED_AS_FEEDER,Urban,MP,30,5,0,5,False,,231,True
FDR-255,BAHU FORT ↔ NAGROTA,RETAINED_AS_FEEDER,Urban,MP,30,6,0,6,False,,167,True
FDR-182,BAKSHI NAGAR ↔ DOUNGIAN,RETAINED_AS_FEEDER,Urban,MP,30,7,0,7,False,,219,True
FDR-275,BAKSHI NAGAR ↔ HIRA CHAK GADLA,RETAINED_AS_FEEDER,Peri_Urban,MP,30,8,0,8,False,,681,True
FDR-183,BAKSHI NAGAR ↔ DOUNGIAN,RETAINED_AS_FEEDER,Urban,MP,30,7,0,7,False,,219,True
FDR-422,BAKSHI NAGAR PULI ↔ AGHORE,RETAINED_AS_FEEDER,Urban,MP,30,2,0,2,False,,118,True
FDR-059,BAKSHI NAGAR PULI ↔ BARNAI BANTALAB,RETAINED_AS_FEEDER,Urban,MP,30,3,0,3,False,,197,True
FDR-121,BAKSHI NAGAR PULLI ↔ BARNAI,RETAINED_AS_FEEDER,Urban,MP,30,5,0,5,False,,249,True
FDR-423,BAKSHI NAGAR PULLI ↔ GAJANSOO MARH,RETAINED_AS_FEEDER,Urban,MP,30,2,0,2,False,,294,True
FDR-253,BAKSHI NAGAR PULLI ↔ GHO MANHASAN SAAGNI,RETAINED_AS_FEEDER,Urban,MP,30,6,0,6,False,,546,True
FDR-200,BAKSHI NAGAR PULLI ↔ MISHRIWALA,RETAINED_AS_FEEDER,Peri_Urban,MP,30,6,0,6,False,,652,True
FDR-237,BAKSHI NAGAR PULLI ↔ AGORE,RETAINED_AS_FEEDER,Urban,MP,30,4,0,4,False,,118,True
FDR-178,BAKSHI NAGAR PULLI ↔ CHAGOLE CHAK,RETAINED_AS_FEEDER,Urban,MP,30,6,0,6,False,,617,True
FDR-179,BAKSHI NAGAR PULLI ↔ CHAFFER CHAK,RETAINED_AS_FEEDER,Urban,MP,30,6,0,6,False,,617,True
FDR-312,BAKSHI NAGAR PULLI ↔ CHAK JAFFAR,RETAINED_AS_FEEDER,Peri_Urban,MP,30,9,0,9,False,,272,True
FDR-357,BAKSHI NAGAR PULLI JIC ↔ HALKA MARH,RETAINED_AS_FEEDER,Regional_District,MP,90,7,0,7,False,,902,True
FDR-342,BAKSHI NAGAR PULLI NEAR JIC ↔ LALYAL,RETAINED_AS_FEEDER,Peri_Urban,MP,30,8,0,8,False,,157,True
FDR-031,BANTALAB ↔ TRIKUTA NAGAR,RETAINED_AS_FEEDER,Urban,MP,30,6,0,6,False,,274,True
FDR-091,BANTALAB ↔ SMAILPUR,RETAINED_AS_FEEDER,Peri_Urban,MP,30,10,0,10,False,,487,True
FDR-092,BANTALAB ↔ SMAILPUR,RETAINED_AS_FEEDER,Peri_Urban,MP,30,10,0,10,False,,487,True
FDR-093,BAN TALAB ↔ SMAILPUR,RETAINED_AS_FEEDER,Peri_Urban,MP,30,10,0,10,False,,487,True
FDR-264,BANTALAB NARTHANI ↔ BAJWAN TRIKUTA COLLEGE,RETAINED_AS_FEEDER,Urban,LP,60,2,0,2,False,,583,False
FDR-424,BARNAI PUL ↔ KHAIRI KANGAR,RETAINED_AS_FEEDER,Urban,MP,30,2,0,2,False,,328,False
FDR-324,BAWA TALAB ↔ GHO MANHASA,RETAINED_AS_FEEDER,Urban,LP,60,4,0,4,False,,423,False
FDR-346,BAWA TALAB ↔ MARH,RETAINED_AS_FEEDER,Urban,LP,60,3,0,3,False,,382,False
FDR-403,BAWA TALAB ↔ HALQA MARH,RETAINED_AS_FEEDER,Peri_Urban,LP,60,3,0,3,False,,495,False
FDR-347,BAWA TALAB ↔ CHADGALI,RETAINED_AS_FEEDER,Urban,LP,60,3,0,3,False,,382,False
FDR-352,B C ROAD ↔ KATTAL BATTAL,RETAINED_AS_FEEDER,Peri_Urban,LP,60,4,0,4,False,,111,False
FDR-002,BIKRAM CHOWK ↔ PURMANDAL,RETAINED_AS_FEEDER,Peri_Urban,MP,30,12,0,12,False,,346,True
TRK-027,BIKRAM CHOWK ↔ CAMP GOLE GOJRAL,UPGRADED_TO_TRUNK,Urban,HP,15,5,5,0,False,,183,True
FDR-349,BIKRAM CHOWK WARE HOUSE BRIDGE ↔ RAIPUR,RETAINED_AS_FEEDER,Urban,MP,30,3,0,3,False,,84,True
FDR-361,BIKRAM CHOWK WARE HOUSE BRIDGE ↔ RAIPUR,RETAINED_AS_FEEDER,Urban,MP,30,5,0,5,False,,106,True
FDR-367,B S F CAMPUS ↔ GHO MANHASA,RETAINED_AS_FEEDER,Urban,MP,30,4,0,4,False,,903,True
FDR-340,B S F CAMPUS PALOURA ↔ KARLOOP,RETAINED_AS_FEEDER,Urban,LP,60,3,0,3,False,,427,False
FDR-307,B S F PALOURA ↔ PATNYAL,RETAINED_AS_FEEDER,Urban,LP,60,3,0,3,False,,383,False
FDR-339,BSF PALOURA ↔ LAHORI CHACK,RETAINED_AS_FEEDER,Peri_Urban,LP,60,5,0,5,False,,531,False
FDR-334,BSF PALOURA ↔ MARH HALQA,RETAINED_AS_FEEDER,Urban,LP,60,3,0,3,False,,434,False
FDR-054,BSF PALOURA ↔ ROOPNAGAR,RETAINED_AS_FEEDER,Urban,MP,30,7,0,7,False,,302,True
FDR-211,BUS STAND K C ↔ BANTALAB UPPER THATHAR,RETAINED_AS_FEEDER,Urban,LP,60,2,0,2,False,,474,False
FDR-224,BUS STAND MAHESHPURA ↔ GHO MANHASAN LAHORI CHAK,RETAINED_AS_FEEDER,Urban,LP,60,3,0,3,False,,221,False
FDR-072,BUS STAND ROOP NAGAR ↔ BARI BRAHMANA IND COMPLEX,RETAINED_AS_FEEDER,Peri_Urban,MP,30,10,0,10,False,,458,True
FDR-232,CANAL HEAD ↔ GHO MANHASAN,RETAINED_AS_FEEDER,Urban,LP,60,3,0,3,False,,606,False
FDR-266,CHANNI HIMMAT ↔ RAIPUR,RETAINED_AS_FEEDER,Urban,MP,30,5,0,5,False,,221,True
FDR-215,CHANNI HIMMAT ↔ RAIPUR KHERI,RETAINED_AS_FEEDER,Peri_Urban,MP,30,7,0,7,False,,213,True
FDR-064,CHANNI HIMMIT ↔ SWARN VIHAR,RETAINED_AS_FEEDER,Urban,MP,30,6,0,6,False,,292,True
FDR-425,GANESHU CHACK ↔ M H HOSPITAL SATWARI CANT,RETAINED_AS_FEEDER,Urban,LP,60,2,0,2,False,,104,False
FDR-426,HIGH COURT JANIPUR GRID STAION ↔ BISHNAH,RETAINED_AS_FEEDER,Urban,MP,30,2,0,2,False,,84,False
FDR-296,HIGH COURT JANIPUR GRID STAION ↔ BISHNAH,RETAINED_AS_FEEDER,Peri_Urban,MP,30,11,0,11,False,,277,True
FDR-319,INDIRA CHOWK ↔ JAGTI MIGRANT CAMP,RETAINED_AS_FEEDER,Peri_Urban,LP,60,4,0,4,False,,166,False
FDR-377,JAMMU ↔ NARAYANA MILLAN DI KHUI,RETAINED_AS_FEEDER,Peri_Urban,LP,60,5,0,5,False,,424,False
FDR-383,JAMMU BUS STAND ↔ MATHWAR,RETAINED_AS_FEEDER,Regional_District,LP,90,7,0,7,False,,510,False
FDR-056,JANIPUR ↔ BAHUFORT,RETAINED_AS_FEEDER,Urban,MP,30,4,0,4,False,,169,True
FDR-186,JANIPUR ↔ BISHNAH,RETAINED_AS_FEEDER,Peri_Urban,MP,30,9,0,9,False,,342,True
FDR-191,JANIPUR ↔ BISHNAH,RETAINED_AS_FEEDER,Peri_Urban,MP,30,14,0,14,False,,486,True
FDR-095,JANIPUR ↔ DASSORE,RETAINED_AS_FEEDER,Peri_Urban,MP,30,6,0,6,False,,309,True
FDR-321,JANIPUR ↔ TOP MANASA,RETAINED_AS_FEEDER,Peri_Urban,MP,30,10,0,10,False,,194,True
FDR-026,JANIPUR ↔ CHATHA,RETAINED_AS_FEEDER,Urban,MP,30,4,0,4,False,,218,True
FDR-325,JANIPUR ↔ MISHRIWALA,RETAINED_AS_FEEDER,Regional_District,MP,90,7,0,7,False,,392,True
FDR-427,JANIPUR ↔ GARHI LADORE,RETAINED_AS_FEEDER,Urban,MP,30,2,0,2,False,,139,True
FDR-021,JANIPUR ↔ TRIKUTA NAGAR,RETAINED_AS_FEEDER,Urban,MP,30,5,0,5,False,,231,True
FDR-156,JANIPUR ↔ BISHNAH,RETAINED_AS_FEEDER,Peri_Urban,MP,30,9,0,9,False,,315,True
FDR-128,JANIPUR ↔ SUNJWAN,RETAINED_AS_FEEDER,Peri_Urban,MP,30,8,0,8,False,,268,True
FDR-289,JANIPUR ↔ BISHNAH,RETAINED_AS_FEEDER,Peri_Urban,MP,30,11,0,11,False,,289,True
CMP-04,JANIPUR ↔ SAINIK COLONY,UPGRADED_TO_TRUNK,Urban,MP,10,13,12,1,True,CMP-04,174,True
FDR-096,JANIPUR ↔ KOTLI MURALIAN,RETAINED_AS_FEEDER,Peri_Urban,MP,30,6,0,6,False,,309,True
FDR-146,JANIPUR ↔ BARI BRAHMANA IND  COMPLEX,RETAINED_AS_FEEDER,Peri_Urban,MP,30,12,0,12,False,,453,True
FDR-252,JANIPUR ↔ KOTLI MIAN FETHY,RETAINED_AS_FEEDER,Peri_Urban,MP,30,11,0,11,False,,319,True
FDR-171,JANIPUR ↔ CHATHA,RETAINED_AS_FEEDER,Peri_Urban,MP,30,8,0,8,False,,270,True
